citation,auteur,
"L'univers est peut-être une ""machine à faire des dieux"". Mais la vraie foi consiste à parier que l'espèce humaine est capable d'incarner Dieu, de le réaliser, ""d'en finir avec lui"" en inventant sa propre humanité.",Francis Jeanson,
L'univers m'embarrasse et je ne puis songer que cette horloge existe et n'ait pas d'horloger.,Voltaire,
"L'urgent, c'est le pressant avenir immédiat, le futur en train de se faire au présent.",Vladimir Jankélévitch,
La barbarie est accessible à quiconque : il suffit d'y prendre goût.,Emil Cioran,
La barbe ne fait pas le philosophe.,Plutarque,
La barrière la plus immuable de la nature se situe entre les pensées d'un homme et celle d'un autre.,William James,
"La béatitude n'est pas la récompense de la vertu, mais la vertu elle-même.",Baruch Spinoza,
La beauté des choses existe dans l'esprit de celui qui les contemple.,David Hume,
La beauté du corps est un avantage digne des animaux si l'intelligence ne la relève.,Démocrite D'Abdère,
"La beauté du corps, découronnée de celle de l'âme, n'est un ornement que pour les animaux.",Démocrite D'Abdère,
La beauté est la splendeur du visage divin.,Marsile Ficin,
La beauté est un appui préférable à toutes les lettres de recommandation.,Aristote,
La beauté est un mystère qui danse et chante dans le temps et au-delà du temps.,Jean D'Ormesson,
La beauté est une lettre de recommandations qui conquiert tous les coeurs du premier coup.,Arthur Schopenhauer,
"La beauté n'est pas négociable, puisque personne ne peut lui offrir l'équivalent de ce qu'elle est.",Jean Baudrillard,
La beauté n'est pas quelque chose dont on puisse convaincre un tiers.,Alain De Botton,
La beauté n'est qu'un piège tendu par la nature à la raison.,Voltaire,
"La beauté plaît aux yeux, la douceur charme l'âme.",Voltaire,
"La beauté s'use promptement par la possession ; au bout de six semaines, elle n'est plus rien pour le possesseur.",Jean-Jacques Rousseau,
La beauté séduit la chair pour obtenir la permission de passer jusqu'à l'âme.,Simone Weil,
"La beauté, c'est l'harmonie du hasard et du bien.",Simone Weil,
La bêtise humaine est la seule chose qui donne une idée de l'infini.,Ernest Renan,
La bienfaisance est bien plutôt un vice de l'orgueil qu'une véritable vertu de l'âme.,Marquis De Sade,
La bienfaisance est un devoir.,Emmanuel Kant,
La biologie a longtemps ignoré que la culture jouait un rôle actif sur la stock héréditaire en déterminant des pressions sélectives sur le génotype. et intervenait sur la détermination du phénotype.,Edgar Morin,
"La bonne chose à propos de vivre dans une petite ville est que lorsque vous ne savez pas ce que vous faites, quelqu'un d'autre le sait.",Emmanuel Kant,
La bonne marche harmonique d'un système d'hommes exige que chacun ne soit ni inférieur ni supérieur à sa tâche.,Paul Valéry,
La bonne politique n'est pas de s'opposer à ce qui est inévitable ; la bonne politique est d'y servir et de s'en servir.,Ernest Renan,
La bonne religieuse est celle qui apporte dans le cloître quelque grande faute à expier.,Denis Diderot,
La bonté en parole amène la confiance.La bonté en pensée amène la profondeur.La bonté en donnant amène l'amour.,Lao Tseu,
La bouche obéit mal lorsque le coeur murmure.,Voltaire,
La calomnie irrite les hommes et ne les corrige pas.,Machiavel,
La cause de la dépopulation ? La présence d'esprit.,Paul Valéry,
La cause principale des erreurs humaines se trouve dans les préjugés acquis dans l'enfance.,René Descartes,
La chance qui dure est toujours suspecte.,Baltasar Gracian,
La charge que soutiennent nos épaules doit être moins lourde que facile à porter.,Démocrite D'Abdère,
La chasse est le moyen le plus sûr pour supprimer les sentiments des hommes envers les créatures qui les entourent.,Voltaire,
"La chose du monde à laquelle un homme libre pense le moins, c'est la mort ; et la sagesse n'est point la méditation de la mort mais de la vie.",Baruch Spinoza,
La chose la plus importante à toute la vie est le choix du métier : le hasard en dispose.,Blaise Pascal,
La chrétienté a aboli le christianisme sans trop le savoir.,Soren Kierkegaard,
La cigarette est la prière de notre temps.,Annie Leclerc,
"La civilisation démocratique est entièrement fondée sur l'exactitude de l'information. Si le citoyen n'est pas correctement informé, le vote ne veut rien dire.",Jean-François Revel,
"La civilisation ne consiste pas à multiplier les besoins mais à les réduire volontairement, délibérément. Cela seul amène le vrai bonheur.",Gandhi,
"La cohérence pure, c'est du délire, c'est du délire abstrait.",Edgar Morin,
La cohésion sociale est due en grande partie à la nécessité pour une société de se défendre contre d'autres.,Henri Bergson,
La coïncidence de choses heureuses est heureuse. Mais la coïncidence de choses néfastes est heureuse elle aussi.,Jean Baudrillard,
La colère est comme une avalanche qui se brise sur ce qu'elle brise.,Sénèque,
"La colère est nécessaire ; on ne triomphe de rien sans elle, si elle ne remplit l'âme, si elle n'échauffe le coeur ; elle doit donc nous servir, non comme chef, mais comme soldat.",Aristote,
"La colère n'a rien de grand ni de noble. Il n'y a vraiment grand que ce qui, en même temps, est calme.",Sénèque,
"La colère vide l'âme de toutes ses ressources, de sorte qu'au fond paraît la lumière.",Friedrich Nietzsche,
La comédie : celle-ci fait les hommes plus mauvais qu'ils ne sont aujourd'hui et la tragédie les faits meilleurs.,Aristote,
La comédie est bien plus près de la vie réelle que le drame.,Henri Bergson,
"La communication, comme la guerre, est un art simple, et tout d'exécution.",Luc Ferry,
"La compassion n'engage à rien, d'où sa fréquence. Nul n'est jamais mort ici-bas de la souffrance d'autrui.",Emil Cioran,
La compréhension n'a pas besoin d'ailes.,Francis Bacon (philosophe),
"La concupiscence et la force sont les sources de toutes nos actions. La concupiscence fait les volontaires, la force les involontaires.",Blaise Pascal,
"La concupiscence nous est devenue naturelle et a fait notre seconde nature. Ainsi il y a deux natures en nous : l'une bonne, l'autre mauvaise. Où est Dieu ? Où vous n'êtes pas.",Blaise Pascal,
"La condamnation du racisme, la protection des minorités, l'assistance aux réfugiés, la mobilisation de la solidarité internationale envers les plus nécessiteux, ne sont que des applications cohérentes du principe de la citoyenneté mondiale.",Jean-Paul II,
"La condition caractéristique du rêve, c'est le sommeil.",Arthur Schopenhauer,
La condition d'un peuple abruti est pire que celle d'un peuple brute.,Denis Diderot,
"La confession la plus vraie est celle que nous faisons indirectement, en parlant des autres.",Emil Cioran,
La confiance en soi est le premier secret du succès.,Ralph Waldo Emerson,
La connaissance de Dieu sans celle de sa misère fait l'orgueil. La connaissance de sa misère sans celle de Dieu fait le désespoir.,Blaise Pascal,
"La connaissance de l'espèce la plus humble est le savoir non unifié ; la science, le savoir parfaitement unifié ; la philosophie, le savoir complètement unifié.",Herbert Spencer,
La connaissance de l'homme ne saurait s'étendre au-delà de sa propre expérience.,John Locke,
La connaissance des mots conduit à la connaissance des choses.,Platon,
La connaissance du réel est une lumière qui projette toujours quelque part des ombres.,Gaston Bachelard,
La connaissance est en elle-même puissance.,Francis Bacon (philosophe),
"La connaissance est en expansion accélérée, et aucune connaissance exhaustive ou définitive n'y est possible.",Edgar Morin,
La connaissance est pour l'humanité un magnifique moyen de s'anéantir elle-même.,Friedrich Nietzsche,
La connaissance est une navigation dans un océan d'incertitudes à travers des archipels de certitudes.,Edgar Morin,
La connaissance humanise l'humanité et la raison tend à la douceur ; mais les préjugés éradiquent toute disposition tendre.,Montesquieu,
"La connaissance progresse en intégrant en elle l'incertitude, non en l'exorcisant.",Edgar Morin,
La connaissance s'élabore contre une connaissance antérieure.,Gaston Bachelard,
"La connaissance tue l'action, pour agir il faut être obnubilé par l'illusion.",Friedrich Nietzsche,
"La connaissance tue l'action, pour agir il faut que les yeux se voilent d'un bandeau d'illusion.",Friedrich Nietzsche,
La conquête du superflu donne une excitation spirituelle plus grande que la conquête du nécessaire.,Gaston Bachelard,
La conscience a été donnée à l'homme pour transformer la tragédie de la vie en une comédie.,Démocrite D'Abdère,
La conscience d'avoir bien agi est une récompense en soi.,Sénèque,
La conscience des complexités suppose un esprit à la fois bienveillant et vigilant.,Edgar Morin,
"La conscience écologique vient d'une menace, non d'une espérance ; elle nous amène à repenser non seulement notre relation à la nature, mais notre histoire et notre civilisation.",Edgar Morin,
"La conscience en réalité se trouve prise entre deux contradictions : ou le bien, sommé d'être bon à tout prix, se niera lui-même, ou le bien, plus soucieux de survivre sera provisoirement infidèle à soi.",Vladimir Jankélévitch,
La conscience est à l'âme ce que l'instinct est au corps ; qui la suit obéit à la nature et ne craint point de s'égarer.,Jean-Jacques Rousseau,
"La conscience est bien plus que l'écharde, elle est le poignard dans la chair.",Emil Cioran,
"La conscience est la dernière et la plus tardive évolution de la vie organique, et par conséquent ce qu'il y a de moins accompli et de plus fragile en elle.",Friedrich Nietzsche,
La conscience est la lumière de l'intelligence pour distinguer le bien du mal.,Confucius,
"La conscience est la voix de l'âme, les passions sont la voix du corps.",Jean-Jacques Rousseau,
"La conscience est un trait d'union entre ce qui a été et ce qui sera, un pont jeté entre le passé et l'avenir.",Henri Bergson,
La conscience n'est jamais assurée de surmonter l'ambiguïté et l'incertitude.,Edgar Morin,
"La conscience n'est pas la lumière qui éclaire l'esprit et le monde, mais c'est la lueur ou le flash qui éclaire la brèche, l'incertitude, l'horizon.",Edgar Morin,
La conscience règne et ne gouverne pas.,Paul Valéry,
La consigne d'euphorie permanente et universelle me paraît terrifiante.,Roger-Pol Droit,
"La consommation, c'est l'addiction.",Luc Ferry,
La contemplation du temps est la clef de la vie humaine.,Simone Weil,
La conversation entre amis ne s'assèche jamais.,Jean-Jacques Rousseau,
La conviction certaine que l'on pourrait si l'on voulait est cause d'inertie chez maints bons esprits.,Georg Christoph Lichtenberg,
"La Coréé du sud où le taux de mortalité est le plus faible a endigué l'épidémie (Coronavirus) sans confinement ni mesures coercitives.Une autre voie a été choisie: l'hygiène, la détection systématique des malades, l'information et les soins individualisés. Mais ils étaient bien équipés pour ça.",Edgar Morin,
La coutume est une seconde nature qui détruit la première.,Blaise Pascal,
"La coutume, ainsi, est le grand guide de la vie humaine.",David Hume,
"La crainte ajoute à nos peines, comme les désirs ajoutent à nos plaisirs.",Montesquieu,
La crainte de la guerre est encore pire que la guerre elle-même.,Sénèque,
"La crainte de perdre engendre les mêmes passions que celle d'acquérir, car les hommes ne tiennent pour assuré ce qu'ils possèdent que s'ils y ajoutent encore.",Machiavel,
La crainte est un ressort qu'il faut ménager ; il ne faut jamais faire de loi sévère lorsqu'une plus douce suffit.,Montesquieu,
"La crainte suit le crime, et c'est son châtiment.",Voltaire,
"La création est de la part de Dieu un acte non pas d'expansion de soi, mais de retrait, de renoncement. Dieu et toutes les créatures, cela est moins que Dieu seul.",Simone Weil,
La Création fut le premier acte de sabotage.,Emil Cioran,
"La critique est une chose bien commode : on attaque avec un mot, il faut des pages pour se défendre.",Jean-Jacques Rousseau,
"La critique rate son but quand elle oublie l'aspect complexe, ou ambivalent ou équivoque des hommes et des choses.",Edgar Morin,
"La croix est vide, parce qu'elle t'attend.",Soren Kierkegaard,
La croyance au rapport de cause à effet est la superstition.,Ludwig Wittgenstein,
"La croyance n'est rien qu'une conception d'un objet plus vive, plus vivante, plus forte, plus ferme, plus stable que celle que l'imagination seule est jamais capable d'obtenir.",David Hume,
"La croyance que rien ne change provient soit d'une mauvaise vue, soit d'une mauvaise foi. La première se corrige, la seconde se combat.",Friedrich Nietzsche,
La cruauté est le remède de l'orgueil blessé.,Friedrich Nietzsche,
"La cruauté vise l'homme capable d'être plus qu'il est, la pitié vise l'homme coupable d'être tel qu'il est.",Jean Baudrillard,
"La cruauté, bien loin d'être un vice, est le premier sentiment qu'imprime en nous la nature ; l'enfant brise son hochet, mord le téton de sa nourrice, étrangle son oiseau, bien avant que d'avoir l'âge de raison.",Marquis De Sade,
La culture : le domaine où se déroule l'activité spirituelle et créatrice de l'homme.,Alain Finkielkraut,
La culture de quelqu'un se définit par ses lacunes.,Michel Serres,
La culture est l'espace et le temps rendus sensibles au coeur.,Jean D'Ormesson,
la culture est menacée par ce qui est censé la servir.,Jean D'Ormesson,
La culture est plus orgueilleuse et plus modeste que tout ce que l'on pourrait imaginer.,Jean D'Ormesson,
"La culture est proche d'une façon d'être, d'un coup de foudre, d'une fête toujours inachevée du bonheur.",Jean D'Ormesson,
"La culture, c'est avant tout une unité de style qui se manifeste dans toutes les activités d'une nation.",Friedrich Nietzsche,
"La culture, c'est ce qui relie les savoirs et les féconde.",Edgar Morin,
La déception est bien moins pénible quand on ne s'est point d'avance promis le succès.,Sénèque,
La définition du beau est facile : il est ce qui désespère.,Paul Valéry,
La définition fait connaître ce qu'est la chose.,Aristote,
"La délicatesse est un don de nature, et non une acquisition de l'art.",Blaise Pascal,
"La démence fait le mal, ce n'est pas le mal qui fait la démence.",Edgar Morin,
"La démocratie a deux excès à éviter : l'esprit d'inégalité, qui conduit à une aristocratie, ou au gouvernement d'un seul individu ; et l'esprit d'extrême égalité qui le conduit au despotisme, comme le despotisme d'un seul individu finit par la conquête.",Montesquieu,
La démocratie devrait assurer au plus faible les mêmes opportunités qu'au plus fort.,Gandhi,
"La démocratie est corrompue non seulement lorsque l'esprit d'égalité est corrompu, mais également lorsqu'ils tombent dans un esprit d'extrême égalité.",Montesquieu,
La démocratie est la voie du socialisme.,Karl Marx,
La démocratie est un système dans lequel les citoyens votent pour désigner des gouvernants sur la base d'un programme leur indiquant les intentions des gouvernants.,Jean-François Revel,
"La démocratie, c'est cela : apprendre à supporter ce qui vous horrifie, ce qui vous blesse.",Elisabeth Badinter,
La dernière chose qu'on trouve en laissant un ouvrage est de savoir celle qu'il faut mettre la première.,Blaise Pascal,
La dernière démarche de la raison est de reconnaître qu'il y a une infinité de choses qui la surpasse.,Blaise Pascal,
La désespérance de vie a elle aussi augmenté.,Edgar Morin,
La désobéissance civile est une forme de responsabilité et appelle à davantage de responsabilités.,André Glucksmann,
La détérioration de chaque gouvernement commence par la décadence des principes sur lesquels il a été fondé.,Montesquieu,
La détresse et l'indigence du monde extérieur font que la plénitude de ton coeur devient aussi pour toi indigence et détresse.,Friedrich Hölderlin,
"La devise de notre monde contemporain c'est ""omnia illico"" (tout, tout de suite).",Gustave Thibon,
"La différence entre l'ordinaire et l'extraordinaire est ce petit plus. La question n'est pas de savoir qui va me laisser ; qui va m'arrêter, vous n'avez pas besoin de voir tout l'escalier, faites le premier pas, l'homme qui déplace une montagne commence par emporter de petites pierres.",Confucius,
"La différence entre les jeunes et les vieux, c'est que les vieux ont beaucoup plus de souvenirs et beaucoup moins de mémoire !",Paul Ricoeur,
La différence entre un bon et un mauvais architecte réside en ce que le mauvais succombe à toutes les tentations quand le bon leur tient tête.,Ludwig Wittgenstein,
La difficulté à vaincre est l'affliction par excellence de l'homme moyen.,François Hertel,
La difficulté de trouver l'aliment grandit en fonction de la pureté de la faim.,Gustave Thibon,
"La dignité de l'homme requiert l'obéissance à une loi supérieure, à la puissance de l'esprit.",Gandhi,
"La discorde est le plus grand mal du genre humain, et la tolérance en est le seul remède.",Voltaire,
La dispute alimente la dispute et engloutit ceux qui s'y plongent.,Sénèque,
La dissimulation est sagesse abrégée.,Francis Bacon (philosophe),
La distance et le temps font ensemble un désert où l'être solitaire peuple de visions étranges l'heure et l'air... Effet complémentaire!,Paul Valéry,
"La distance, âme du beau.",Lao Tseu,
"La douceur de la gloire est si grande, qu'à quelque chose qu'on l'attache, même à la mort, on l'aime.",Blaise Pascal,
La douceur est invincible.,Marc Aurèle,
La douleur est aussi nécessaire que la mort.,Voltaire,
La douleur est le déplaisir dû aux sens et ce qui le produit est désagréable.,Emmanuel Kant,
"La douleur est toujours question et le plaisir, réponse.",Paul Valéry,
"La douleur, c'est le vide.",Jean-Paul Sartre,
"La durée du bien fait naître l'ennui ; celle du mal, l'indifférence.",René Descartes,
La fable est la soeur aînée de l'histoire.,Voltaire,
La facilité c'est le talent qui se retourne contre nous.,Jean-Paul Sartre,
La facilité n'explique pas tout ; et le vice a ses sentiers aussi ardus que ceux de la vertu.,Paul Valéry,
La faiblesse de la force est de ne croire qu'à la force.,Paul Valéry,
La faiblesse de notre raison et l'insuffisance de nos lois se font sentir tous les jours.,Voltaire,
"La faim de Dieu, la soif d'éternité et de survie, étouffera toujours cette pauvre joie de vivre qui passe et ne demeure point.",Miguel De Unamuno,
La faim est un nuage d'où il tombe une pluie de science et d'éloquence. La satiété est un autre nuage qui fait pleuvoir une pluie d'ignorance et de grossièreté.,Platon,
"La familiarité irrite chez un supérieur, parce qu'on ne peut la lui rendre.",Friedrich Nietzsche,
"La famille de bon exemple est celle où l'on s'entraide et s'entr'aime, où jeunes et vieux cheminent dans la bonne voie en se donnant la main. C'est un milieu salutaire où l'on s'épanouit doucement.",Henri-Frédéric Amiel,
La famille est le plus doux des liens.,Henri-Frédéric Amiel,
La famille est un milieu où le minimum de plaisir avec le maximum de gêne font ménage ensemble.,Paul Valéry,
"La fatigue des sens crée. Le vide crée. Les ténèbres créent. Le silence crée. L'incident crée. Tout crée, excepté celui qui signe et endosse l'oeuvre.",Paul Valéry,
"La fausse sécurité est plus que l'alliée de l'illusion, elle en constitue la substance même.",Clément Rosset,
La feinte charité du riche n'est en lui qu'un luxe de plus ; il nourrit les pauvres comme des chiens et des chevaux.,Jean-Jacques Rousseau,
La femme coquette est l'agrément des autres et le mal de qui la possède.,Voltaire,
La femme d'un charbonnier est plus respectable que la maîtresse d'un prince.,Jean-Jacques Rousseau,
La femme est comme une coupe d'argent où nous déposons nos fruits d'or.,Emmanuel Kant,
La femme est la seconde faute de Dieu.,Friedrich Nietzsche,
La femme est un animal à cheveux longs et à idées courtes.,Arthur Schopenhauer,
La femme est un être occasionnel et accidentel.,Thomas D'Aquin,
La femme est une surface qui mime la profondeur.,Friedrich Nietzsche,
"La femme n'est pas en position de désir, elle est en position, bien supérieure, d'objet de désir.",Jean Baudrillard,
La femme n'est pas encore capable d'amitié : elle ne connaît que l'amour.,Friedrich Nietzsche,
La femme nous remet en communication avec l'éternelle source où Dieu se mire.,Ernest Renan,
La femme observe et l'homme raisonne.,Jean-Jacques Rousseau,
La femme qui se sait joliment parée ne s'est jamais enrhumé.,Friedrich Nietzsche,
"La femme s'est toujours réservé la part captivante de la séduction (la séductrice), lui s'est toujours retrouvé avec la part légèrement ridicule (le séducteur).",Jean Baudrillard,
La femme seule peut devenir âme de notre âme comme elle est chair de notre chair.,Henri-Frédéric Amiel,
"La fibre la plus coriace doit s'amollir dans le feu de l'amour. Si elle ne fond pas, c'est que le feu n'est pas assez fort.",Gandhi,
La fidélité est contraire à la nature humaine.,Charles Fourier,
La fin de la Politique est la fin suprême.,Aristote,
La fin de la Politique sera le bien proprement humain.,Aristote,
La fin du discours importe plus que le commencement.,Francis Bacon (philosophe),
La fin du jour est femme.,Paul Valéry,
"La fin du monde apparaîtra quand l'idée même de Dieu aura disparu. D'oubli en oubli, l'homme réussira à abolir son passé et à s'abolir lui-même.",Emil Cioran,
"La fin du monde... Dieu se retourne et dit : ""J'ai fait un rêve"".",Paul Valéry,
La fin est dans les moyens comme l'arbre est dans la semence.,Gandhi,
La floraison de l'amour est méditation.,Jiddu Krishnamurti,
"La foi a cela de particulier que, disparue, elle agit encore.",Ernest Renan,
La foi consiste à ne jamais renier dans les ténèbres ce qu'on a entrevu dans la lumière.,Gustave Thibon,
La foi consiste à savoir se résigner au songe.,Miguel De Unamuno,
La foi de beaucoup d'hommes est une affaire de géographie.,Jean-Jacques Rousseau,
"La foi est trop souvent le contraire de la bonne foi, et l'homme de foi ressemble alors, à s'y méprendre, à l'homme sans foi.",Henri-Frédéric Amiel,
"La folie : Qui, en profondeur, n'est pas dingue.",Edgar Morin,
La folie des amants est la plus douce de toutes les folies.,Érasme,
"La folie est quelque chose de rare chez l'individu ; elle est la règle pour les groupes, les partis, les peuples, les époques.",Friedrich Nietzsche,
"La folie est une ivresse sans fin, où la joie, les délices, les enchantements se renouvellent sans cesse",Érasme,
La fonction primaire de la communication écrite est de faciliter l'asservissement.,Claude Lévi-strauss,
La force du nombre ne réjouit que le peureux. Celui qui est courageux en esprit se fait gloire de combattre seul.,Gandhi,
"La force est la reine du monde et non pas l'opinion, mais l'opinion est celle qui use la force.",Blaise Pascal,
La force et la fraude sont les deux armes principales des hommes en guerre.,Thomas Hobbes,
La force naît par violence et meurt par liberté.,Léonard De Vinci,
La force principale de la religion vient de ce qu'on la croit : la force des lois humaines de ce qu'on les craint.,Montesquieu,
La force qui ne connaît que la révolte s'y use.,Albert Schweitzer,
"La force réside dans l'absence de crainte, et non dans la quantité de chair et de muscle que nous avons dans notre corps.",Gandhi,
La forêt est un état d'âme.,Gaston Bachelard,
La forme seule conserve les oeuvres de l'esprit.,Paul Valéry,
"La formule sacrée du positivisme : l'amour pour principe, l'ordre pour base, et le progrès pour but.",Auguste Comte,
"La fortune aime les gens peu sensés ; elle aime les audacieux et ceux qui ne craignent pas de dire : ""Le sort en est jeté"". La sagesse, au contraire, rend timide.",Érasme,
"La fortune n'a pas les bras longs, elle ne s'empare que de celui qui s'attache à elle.",Sénèque,
La fortune ne change que pour ceux qui ne savent pas se conformer au temps.,Machiavel,
"La fortune ne devrait être possédée que par les gens d'esprit : autrement, elle représente un danger public.",Friedrich Nietzsche,
La fortune se lasse de porter toujours un même homme sur son dos.,Baltasar Gracian,
La fortune vend à qui se hâte une infinité de choses qu'elle donne à qui sait attendre.,Francis Bacon (philosophe),
"La fortune, même, récompense avec usure ceux qui ont la patience de l'attendre.",Baltasar Gracian,
"La foule des aveugles ne vaut pas un seul voyant, non plus que la foule des sots ne peut égaler un sage.",Giordano Bruno,
La foule est une somme d'erreurs qu'il faut corriger.,Friedrich Nietzsche,
La France : Laissez-lui faire des choses frivoles sérieusement et gaiement les choses sérieuses.,Montesquieu,
La France a toujours cru qu'une chose dite était une chose faite.,Henri-Frédéric Amiel,
"La France est en fermentation ; donnera-t-elle du vinaigre ou du vin, on l'ignore encore.",Georg Christoph Lichtenberg,
La France excelle dans l'exquis ; elle est médiocre dans le commun.,Ernest Renan,
La France n'a et n'aura jamais de plus mortels ennemis que les Français exilés.,Montesquieu,
"La fraternité bannit la volonté de puissance, et le service la tentation du pouvoir.",Jean-Paul II,
La fraternité n'a pas ici-bas de pire ennemi que l'égalité.,Gustave Thibon,
La frugalité contient toutes les vertus.,Cicéron,
"La gaffe est l'administration massive, intempestive, et inopportune de ces vérités qu'une posologie civilisée dose en général goutte par goutte.",Vladimir Jankélévitch,
"La gauche rend responsables Houellebecq, Finkielkraut et Zemmour des attentats du 7 janvier, car elle ne veut pas nommer islamistes ?",Michel Onfray,
La gauche se croit antifasciste comme Jean Moulin quand elle appelle à interdire le parti de Marine Le Pen.,Michel Onfray,
La gêne du commandement fatiguera comme celle de l'obéissance.,Montesquieu,
"La gentillesse, c'est l'art de plaire, sans prétention ni coquetterie.",Henri-Frédéric Amiel,
"La gloire auprès du peuple, voilà à quoi il faut aspirer. Rien ne vaudra jamais le regard éperdu de la charcutière qui vous a vu à la télévision.",Jean Baudrillard,
La gloire est l'amour de la louange.,René Descartes,
La gloire est l'ombre de la vertu ; elle l'accompagnera malgré elle.,Sénèque,
"La gloire est la réputation jointe à l'estime ; elle est au comble, quand l'admiration s'y joint.",Voltaire,
"La gloire et l'honneur ne sont, je le sais, que fantômes ; le bonheur et la joie, un désir sans objet ; la vie, misère vaine, ne produit pas un fruit.",Giacomo Leopardi,
La gloire n'est un bien qu'autant qu'on en est digne.,Georges-Louis Leclerc De Buffon,
"La gloire ressemble au marché ; parfois, quand vous y restez quelque temps, les prix baissent.",Francis Bacon (philosophe),
"La goutte d'eau séparée de l'océan peut trouver un repos momentané, mais celle qui est dans l'océan ne connaît pas de repos.",Gandhi,
La grâce ne fait pas disparaître la nature mais l'achève.,Thomas D'Aquin,
"La grande affaire et la seule qu'on doive avoir, c'est de vivre heureux.",Voltaire,
La grandeur émerge de la simplicité. Les racines de la sagesse sont ancrées en elle.,Lao Tseu,
La gratitude est le secret de la vie. L'essentiel est de remercier pour tout. Celui qui a appris cela sait ce que vivre signifie. Il a pénétré le profond mystère de la vie.,Albert Schweitzer,
La gravité est le bonheur des imbéciles.,Montesquieu,
La gravité est le bouclier des sots.,Montesquieu,
"La guerre est beaucoup plus qu'agression et conquête, c'est une suspension des contrôles de ""civilisation un déchaînement ubrique des forces de destruction.",,
"La guerre est beaucoup plus qu'agression et conquête, c'est une suspension des contrôles de ""civilisation un déchaînement ubrique des forces de destruction.",,
"La guerre est un fruit de la dépravation des hommes ; c'est une maladie convulsive et violente du corps politique ; il n'est en santé, c'est-à-dire dans son état naturel, que lorsqu'il jouit de la paix.",Denis Diderot,
"La guerre est, au sens le plus strict, la sanctification de l'homicide.",Miguel De Unamuno,
La guerre n'est pas une maladie... C'est un mal insupportable parce qu'il vient aux hommes par les hommes.,Jean-Paul Sartre,
"La guerre suppose une grande absence de réflexion égoïste, puisqu'après la victoire, ceux qui ont le plus contribué à la faire remporter, je veux dire les morts, n'en jouissent pas.",Ernest Renan,
La guerre témoigne d'une incapacité à régler de façon complexe des problèmes fondamentaux.,Edgar Morin,
"La guerre, on ne la fait pas : c'est elle qui nous fait.",Jean-Paul Sartre,
"La guerre, un massacre de gens qui ne se connaissent pas, au profit de gens qui se connaissent mais ne se massacrent pas.",Paul Valéry,
La haine doit être vaincue par l'amour et la générosité.,Baruch Spinoza,
La haine est l'amour qui a sombré.,Soren Kierkegaard,
"La haine tue toujours, l'amour ne meurt jamais.",Gandhi,
"La honte, ça passe quand la vie est longue.",Jean-Paul Sartre,
"La jalousie est mille fois plus terrible que la faim, parce que c'est une faim spirituelle.",Miguel De Unamuno,
La jalousie est un sentiment que l'amitié n'éteint pas toujours. Rien de si difficile à pardonner que le mérite.,Denis Diderot,
La jalousie qui se tait s'accroît dans le silence.,Friedrich Nietzsche,
La jeunesse est capable de toutes les abnégations.,Ernest Renan,
"La jeunesse est le temps d'étudier la sagesse, la vieillesse est le temps de la pratiquer.",Jean-Jacques Rousseau,
"La jeunesse est plus apte à inventer qu'à juger, à exécuter qu'à conseiller, à lancer des projets nouveaux qu'à poursuivre des anciens.",Francis Bacon (philosophe),
"La jeunesse est un temps pendant lequel les conventions sont, et doivent être, mal comprises : ou aveuglement combattues, ou aveuglement obéies.",Paul Valéry,
La jeunesse est une manière de se tromper qui se change assez vite en une manière de ne plus même pouvoir se tromper.,Paul Valéry,
"La jeunesse ressemble à tout ce qui s'accroît, la vieillesse à tout ce qui décroît.",Pythagore,
La joie a la nature du plaisir et la profondeur de la douleur.,Lanza Del Vasto,
"La joie de ceux qui prennent, je ne la connais pas, et j'ai rêvé souvent qu'il devait être plus doux encore de voler que de prendre.",Friedrich Nietzsche,
La joie des autres est une grande part de la nôtre.,Ernest Renan,
La joie est en tout ; il faut savoir l'extraire.,Confucius,
La joie est le nerf de toutes les affaires humaines.,Pierre Bayle,
La joie est le passage de l'homme d'une moindre à une plus grande perfection.,Baruch Spinoza,
La joie est notre évasion hors du temps.,Simone Weil,
"La joie intense : se recueillir et se taire. Parler, c'est disperser.",Henri-Frédéric Amiel,
"La justice consiste à mesurer la peine et la faute, et l'extrême justice est une injure.",Montesquieu,
"La justice de l'intelligence est la sagesse. Le sage n'est pas celui qui sait beaucoup de choses, mais celui qui voit leur juste mesure.",Platon,
La justice doit être cultivée pour elle-même.,Cicéron,
"La justice humaine, qui ne voit que les actions, n'a qu'un pacte avec les hommes, qui est celui de l'innocence ; la justice divine, qui voit les pensées, en a deux, celui de l'innocence et celui du repentir.",Montesquieu,
"La justice sans la force est impuissante, la force sans la justice est tyrannique.",Blaise Pascal,
La justification de la pauvreté volontaire était l'impossibilité que tous fussent riches.,Gandhi,
La lâcheté rend subtil.,Emil Cioran,
"La laïcité repose tout entière sur la distinction pascalienne entre l'ordre des corps, l'ordre des esprits, et l'ordre de la charité ou de la sagesse.",Alain Finkielkraut,
"La langue du coeur est mille fois plus variée que celle de l'esprit, et il est impossible de donner les règles de sa dialectique.",Denis Diderot,
"La langue du coeur est mille fois plus variée que celle de l&#039;esprit, et il est impossible de donner les règles de sa dialectique. ",Denis Diderot,
La langue est une raison humaine qui a ses raisons et que l'homme ne connaît pas.,Claude Lévi-strauss,
La larme qui s'échappe de l'homme vraiment homme nous touche plus que tous les pleurs d'une femme.,Denis Diderot,
